day_label,date,activity,type,time_1,timezone_1_label
October 14,2026-10-14,Arrivals & Check-in,break,08:30,"Time (AT)"
October 14,2026-10-14,Welcome (Ben Fisher),activity,09:00,"Time (AT)"
October 14,2026-10-14,Module 1: Introduction to Machine Learning (Gustavo Sganzerla Martinez) (1h),activity,09:30,"Time (AT)"
October 14,2026-10-14,Break (30min),break,10:30,"Time (AT)"
October 14,2026-10-14,Module 2: Classification using tree-based algorithms Part 1 (Gustavo Sganzerla Martinez) (2h),activity,11:00,"Time (AT)"
October 14,2026-10-14,Lunch (1h),break,13:00,"Time (AT)"
October 14,2026-10-14,Module 2: Classification using tree-based algorithms Part 2 (Gustavo Sganzerla Martinez) (1h),activity,14:00,"Time (AT)"
October 14,2026-10-14,Break (30min),break,15:00,"Time (AT)"
October 14,2026-10-14,Module 3: Classification using Artificial Neural Networks Part 1 (Zahra Sadeghi) (2h),activity,15:30,"Time (AT)"
October 14,2026-10-14,Finished,break,17:30,"Time (AT)"
October 15,2026-10-15,Arrivals,break,09:00,"Time (AT)"
October 15,2026-10-15,Module 3: Classification using Artificial Neural Networks Part 2 (Zahra Sadeghi) (1h),activity,09:30,"Time (AT)"
October 15,2026-10-15,Break (30min),break,10:30,"Time (AT)"
October 15,2026-10-15,Module 4: Model Interpretability Part 1 (Dmytro Tymoshenko) (1.5h),activity,11:00,"Time (AT)"
October 15,2026-10-15,Lunch (1h),break,12:30,"Time (AT)"
October 15,2026-10-15,Module 4: Model Interpretability Part 2 (Dmytro Tymoshenko) (1.5h),activity,13:30,"Time (AT)"
October 15,2026-10-15,Break (30min),break,15:00,"Time (AT)"
October 15,2026-10-15,Module 5: Regression using Artificial Neural Networks Part 1 (Gustavo Sganzerla Martinez) (2h),activity,15:30,"Time (AT)"
October 15,2026-10-15,Finished,break,17:30,"Time (AT)"
October 16,2026-10-16,Arrivals,break,08:30,"Time (AT)"
October 16,2026-10-16,Module 5: Regression using Artificial Neural Networks Part 2 (Gustavo Sganzerla Martinez) (1h),activity,09:00,"Time (AT)"
October 16,2026-10-16,Break (30min),break,10:00,"Time (AT)"
October 16,2026-10-16,Module 6: Clustering Part 1 (Mackenzie Tapp) (1.5h),activity,10:30,"Time (AT)"
October 16,2026-10-16,BAtl Seminar and Networking Event,activity,12:00,"Time (AT)"
October 16,2026-10-16,Lunch or BAtl,break,13:00,"Time (AT)"
October 16,2026-10-16,Module 6: Clustering Part 2 (Mackenzie Tapp) (1.5h),activity,14:00,"Time (AT)"
October 16,2026-10-16,Break (30 mins),break,15:30,"Time (AT)"
October 16,2026-10-16,Module 7: Conclusions (Gustavo Sganzerla Martinez) (1h),activity,16:00,"Time (AT)"
October 16,2026-10-16,Survey and Closing Remarks,activity,17:00,"Time (AT)"
